tier,time_len,col,lan_type,model_name,match_id,training_time
MASTER,15,4col,Exponential,RF,KR_6708466200,0.015140000032261
DIAMOND,5,4col,Exponential,RF,KR_6719888945,0.0151341999880969
CHALLENGER,5,4col,Mixed,RF,KR_6719076193,0.0151262999861501
PLATINUM,20,4col,Exponential,RF,KR_6720481811,0.0151261000428348
MASTER,30,4col,Exponential,RF,KR_6721374687,0.015122800017707
MASTER,20,4col,Exponential,RF,KR_6708466200,0.0151072000153362
CHALLENGER,25,4col,Exponential,RF,KR_6719076193,0.0151029999833554
PLATINUM,30,4col,Mixed,RF,KR_6714893677,0.0150999000179581
GOLD,5,4col,Mixed,RF,KR_6717057617,0.0150993000133894
SILVER,30,4col,Exponential,RF,KR_6718791445,0.0150989000103436
PLATINUM,30,4col,Mixed,RF,KR_6720721077,0.0150859000277705
MASTER,10,4col,Exponential,RF,KR_6702568067,0.0150792000349611
CHALLENGER,5,4col,Exponential,RF,KR_6720216348,0.0150787999737076
DIAMOND,30,4col,Exponential,RF,KR_6689153168,0.0150766000151634
SILVER,30,4col,Exponential,RF,KR_6711575562,0.0150738999946042
MASTER,5,4col,Mixed,RF,KR_6719639076,0.0150713000330142
GRANDMASTER,30,4col,Exponential,RF,KR_6720031714,0.0150711000314913
MASTER,10,4col,Exponential,RF,KR_6721374687,0.0150707000284455
DIAMOND,30,4col,Mixed,RF,KR_6720008037,0.0150676000048406
MASTER,10,4col,Exponential,RF,KR_6708466200,0.0150654999888502
CHALLENGER,20,4col,Exponential,RF,KR_6720275332,0.0150635000318288
PLATINUM,30,4col,Exponential,RF,KR_6720788356,0.0150615000165998
PLATINUM,5,4col,Mixed,RF,KR_6629083317,0.0150401999708265
IRON,25,4col,Exponential,RF,KR_6721830650,0.0150401000282727
EMERALD,30,4col,Exponential,RF,KR_6720745651,0.0150336999795399
MASTER,20,4col,Exponential,RF,KR_6702568067,0.0150327999726869
PLATINUM,5,4col,Mixed,RF,KR_6658164740,0.0150320999673567
DIAMOND,30,4col,Exponential,RF,KR_6697727419,0.0150301000103354
EMERALD,5,4col,Mixed,RF,KR_6633976812,0.0150238000205717
GOLD,30,4col,Linear,RF,KR_6717057617,0.01502230000915
